Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
464000,0.21696106,31.612903225806452,14.653219,30.806451612903224,30.806451612903224,1.0
466000,0.23385268,32.59322033898305,13.9542265,31.372881355932204,31.372881355932204,1.0
468000,0.23512603,31.483870967741936,14.007257,30.419354838709676,30.419354838709676,1.0
470000,0.23390155,31.59016393442623,13.80807,30.852459016393443,30.852459016393443,1.0
472000,0.24684338,34.473684210526315,14.629529,33.29824561403509,33.29824561403509,1.0
474000,0.24344815,29.73846153846154,14.064969,28.8,28.8,1.0
476000,0.22993088,31.57377049180328,13.625424,30.40983606557377,30.40983606557377,1.0
478000,0.23781568,32.333333333333336,13.806798,31.366666666666667,31.366666666666667,1.0
480000,0.22456361,31.704918032786885,14.009086,31.0,31.0,1.0
482000,0.2135046,32.18333333333333,14.238219,31.0,31.0,1.0
484000,0.24900614,32.6,13.74754,31.55,31.55,1.0
486000,0.23670739,31.885245901639344,14.874335,30.80327868852459,30.80327868852459,1.0
488000,0.24356829,31.704918032786885,14.62791,30.80327868852459,30.80327868852459,1.0
490000,0.24994563,32.18333333333333,13.921192,31.05,31.05,1.0
492000,0.23110108,32.86440677966102,14.311835,32.0,32.0,1.0
494000,0.20752966,32.266666666666666,14.32443,31.333333333333332,31.333333333333332,1.0
496000,0.23055044,31.451612903225808,13.552457,30.29032258064516,30.29032258064516,1.0
498000,0.24035703,34.10526315789474,14.681132,33.10526315789474,33.10526315789474,1.0
500000,0.21778853,32.1,14.180675,31.133333333333333,31.133333333333333,1.0
